sample,adc,filtered,lead_off
0,5553,-0.00,0
1,5558,0.01,0
2,5534,0.03,0
3,5509,-0.14,0
4,5500,-1.17,0
5,5522,-3.94,0
6,5593,-8.74,0
7,5692,-14.11,0
8,5789,-16.28,0
9,5852,-9.83,0
10,5860,10.26,0
11,5857,46.15,0
12,5844,95.66,0
13,5843,152.64,0
14,5864,209.13,0
15,5903,257.94,0
16,5956,294.82,0
17,5996,319.35,0
18,6007,334.40,0
19,5995,344.35,0
20,5973,353.04,0
21,5982,362.46,0
22,6018,372.80,0
23,6086,383.57,0
24,6159,394.97,0
25,6202,408.43,0
26,6196,425.94,0
27,6150,448.47,0
28,6089,474.59,0
29,6021,500.11,0
30,5966,519.20,0
31,5924,526.08,0
32,5890,516.82,0
33,5852,490.25,0
34,5789,447.96,0
35,5692,393.39,0
36,5588,330.34,0
37,5503,261.81,0
38,5451,189.76,0
39,5434,115.79,0
40,5445,42.05,0
41,5458,-28.31,0
42,5445,-91.50,0
43,5401,-144.19,0
44,5340,-184.83,0
45,5294,-214.36,0
46,5270,-235.80,0
47,5281,-252.82,0
48,5323,-268.26,0
49,5367,-282.98,0
50,5392,-295.91,0
51,5390,-304.88,0
52,5359,-308.07,0
53,5326,-305.09,0
54,5311,-297.33,0
55,5317,-287.26,0
56,5373,-277.30,0
57,5401,-268.77,0
58,5437,-261.47,0
59,5443,-254.28,0
60,5415,-246.04,0
61,5371,-236.36,0
62,5334,-226.07,0
63,5315,-216.98,0
64,5321,-211.12,0
65,5333,-209.92,0
66,5331,-213.75,0
67,5296,-222.12,0
68,5231,-234.37,0
69,5176,-250.32,0
70,5176,-270.19,0
71,5253,-293.44,0
72,5422,-317.17,0
73,5709,-334.70,0
74,6099,-335.18,0
75,6568,-304.07,0
76,7094,-224.68,0
77,7642,-80.60,0
78,8204,141.36,0
79,8790,448.42,0
80,9382,840.11,0
81,9980,1308.00,0
82,10525,1836.95,0
83,10890,2406.70,0
84,10925,2992.51,0
85,10582,3563.56,0
86,9789,4080.04,0
87,8660,4491.24,0
88,7288,4737.45,0
89,5922,4757.32,0
90,4776,4500.52,0
91,3986,3943.32,0
92,3515,3102.35,0
93,3329,2040.12,0
94,3370,858.72,0
95,3582,-317.30,0
96,3900,-1363.53,0
97,4267,-2177.77,0
98,4634,-2696.39,0
99,4951,-2902.16,0
100,5183,-2822.65,0
101,5302,-2520.86,0
102,5328,-2080.60,0
103,5300,-1590.25,0
104,5249,-1127.79,0
105,5214,-749.92,0
106,5200,-486.75,0
107,5207,-342.57,0
108,5206,-301.44,0
109,5179,-335.45,0
110,5129,-413.46,0
111,5077,-507.84,0
112,5043,-598.20,0
113,5037,-672.00,0
114,5064,-723.26,0
115,5113,-750.75,0
116,5160,-756.37,0
117,5186,-744.23,0
118,5183,-719.89,0
119,5160,-689.64,0
120,5139,-659.42,0
121,5136,-633.62,0
122,5156,-614.08,0
123,5195,-600.04,0
124,5239,-588.97,0
125,5265,-577.95,0
126,5268,-565.06,0
127,5243,-550.10,0
128,5209,-534.37,0
129,5197,-519.84,0
130,5207,-507.95,0
131,5244,-498.74,0
132,5290,-490.87,0
133,5328,-482.28,0
134,5331,-471.38,0
135,5308,-457.88,0
136,5275,-443.03,0
137,5253,-428.97,0
138,5258,-417.55,0
139,5296,-409.27,0
140,5358,-402.93,0
141,5411,-396.10,0
142,5433,-386.24,0
143,5418,-371.91,0
144,5386,-353.60,0
145,5359,-333.49,0
146,5361,-314.33,0
147,5385,-298.04,0
148,5439,-284.87,0
149,5486,-273.52,0
150,5509,-262.05,0
151,5497,-249.12,0
152,5465,-234.78,0
153,5434,-220.50,0
154,5423,-208.24,0
155,5444,-199.22,0
156,5487,-193.18,0
157,5552,-188.37,0
158,5603,-182.32,0
159,5626,-172.81,0
160,5602,-158.76,0
161,5571,-140.70,0
162,5550,-120.53,0
163,5557,-100.66,0
164,5592,-82.83,0
165,5645,-67.56,0
166,5693,-54.17,0
167,5717,-41.52,0
168,5705,-28.71,0
169,5675,-15.60,0
170,5645,-2.87,0
171,5638,8.54,0
172,5665,18.03,0
173,5721,25.88,0
174,5778,33.18,0
175,5818,41.47,0
176,5813,51.97,0
177,5786,64.94,0
178,5764,79.49,0
179,5747,94.10,0
180,5772,107.48,0
181,5823,119.22,0
182,5884,129.95,0
183,5929,140.95,0
184,5942,153.45,0
185,5928,167.87,0
186,5912,183.72,0
187,5909,199.92,0
188,5929,215.66,0
189,5981,230.93,0
190,6048,246.54,0
191,6103,263.69,0
192,6129,283.25,0
193,6117,305.21,0
194,6085,328.38,0
195,6055,350.73,0
196,6047,370.14,0
197,6064,385.14,0
