sample,adc,filtered,lead_off
0,6330,-0.00,0
1,5343,-2.17,0
2,4816,-17.78,0
3,5051,-70.45,0
4,5958,-181.55,0
5,7072,-343.94,0
6,7792,-508.52,0
7,7728,-599.83,0
8,6924,-554.62,0
9,5821,-360.90,0
10,5019,-73.33,0
11,4930,206.64,0
12,5605,376.79,0
13,6677,382.70,0
14,7563,243.40,0
15,7802,40.60,0
16,7221,-122.85,0
17,6195,-173.77,0
18,5253,-102.49,0
19,4897,37.28,0
20,5315,160.84,0
21,6287,198.91,0
22,7253,133.26,0
23,7696,3.36,0
24,7364,-118.12,0
25,6437,-166.57,0
26,5424,-120.57,0
27,4869,-12.10,0
28,5079,92.89,0
29,5965,131.83,0
30,7063,80.44,0
31,7767,-33.86,0
32,7710,-147.02,0
33,6942,-193.46,0
34,5914,-141.77,0
35,5164,-11.31,0
36,5124,138.80,0
37,5831,241.49,0
38,6905,257.05,0
39,7727,192.96,0
40,7838,97.69,0
41,7152,32.23,0
42,6031,35.35,0
43,5057,102.18,0
44,4764,187.54,0
45,5253,231.79,0
46,6306,194.59,0
47,7317,77.88,0
48,7724,-74.08,0
49,7311,-197.61,0
50,6274,-243.13,0
51,5162,-201.12,0
52,4567,-106.75,0
53,4754,-21.03,0
54,5594,0.94,0
55,6658,-62.40,0
56,7309,-189.46,0
57,7187,-328.28,0
58,6358,-424.37,0
59,5271,-448.73,0
60,4537,-411.04,0
61,4541,-351.35,0
62,5280,-316.06,0
63,6389,-331.76,0
64,7230,-391.36,0
65,7351,-459.39,0
66,6708,-493.25,0
67,5622,-468.01,0
68,4704,-391.00,0
69,4427,-298.23,0
70,4932,-235.16,0
71,5981,-232.42,0
72,6978,-289.65,0
73,7355,-375.84,0
74,6869,-446.23,0
75,5787,-467.01,0
76,4685,-433.95,0
77,4125,-374.49,0
78,4378,-332.33,0
79,5306,-343.40,0
80,6434,-416.49,0
81,7105,-528.02,0
82,6963,-633.91,0
83,6114,-692.11,0
84,5022,-683.81,0
85,4343,-621.71,0
86,4439,-541.10,0
87,5290,-479.44,0
88,6529,-455.81,0
89,7438,-461.36,0
90,7593,-465.39,0
91,6917,-433.89,0
92,5800,-349.95,0
93,4839,-224.64,0
94,4546,-92.74,0
95,5031,4.09,0
96,6031,37.35,0
97,6934,4.43,0
98,7254,-72.14,0
99,6781,-157.72,0
100,5772,-223.33,0
101,4777,-258.49,0
102,4328,-272.75,0
103,4652,-286.22,0
104,5601,-315.16,0
105,6696,-361.18,0
106,7333,-409.26,0
107,7145,-435.72,0
108,6273,-421.88,0
109,5188,-365.98,0
110,4502,-285.84,0
111,4571,-210.73,0
112,5335,-166.78,0
113,6436,-164.36,0
114,7195,-193.85,0
115,7216,-231.88,0
116,6477,-254.79,0
117,5362,-251.60,0
118,4504,-229.37,0
119,4322,-207.98,0
120,4924,-207.84,0
121,6010,-237.66,0
122,6961,-288.95,0
123,7259,-340.09,0
124,6740,-367.83,0
125,5676,-360.14,0
126,4653,-323.01,0
127,4232,-277.50,0
128,4614,-248.36,0
129,5625,-250.88,0
130,6735,-282.77,0
131,7354,-325.30,0
132,7129,-352.85,0
133,6224,-346.07,0
134,5121,-301.96,0
135,4426,-235.27,0
136,4504,-170.85,0
137,5287,-131.17,0
138,6405,-125.87,0
139,7195,-148.17,0
140,7231,-179.56,0
141,6484,-200.41,0
142,5356,-200.54,0
143,4488,-184.11,0
144,4339,-165.92,0
145,4964,-161.67,0
146,6078,-178.09,0
147,7069,-208.66,0
148,7400,-236.68,0
149,6881,-244.20,0
150,5815,-222.08,0
151,4778,-175.59,0
152,4308,-122.35,0
153,4651,-83.60,0
154,5597,-74.04,0
155,6652,-95.30,0
156,7179,-136.14,0
157,6901,-179.08,0
158,5961,-209.78,0
159,4854,-224.09,0
160,4205,-228.80,0
161,4334,-236.01,0
162,5177,-254.83,0
163,6315,-285.29,0
164,7107,-317.63,0
165,7132,-337.32,0
166,6395,-332.97,0
167,5303,-302.96,0
168,4483,-256.75,0
169,4342,-210.03,0
170,4942,-176.91,0
171,5989,-163.55,0
172,6876,-166.68,0
173,7102,-176.86,0
174,6544,-184.74,0
175,5495,-186.72,0
176,4546,-186.60,0
177,4221,-192.28,0
178,4673,-209.31,0
179,5690,-235.92,0
180,6740,-262.39,0
181,7224,-275.42,0
182,6858,-265.14,0
183,5839,-231.39,0
184,4709,-185.78,0
185,4077,-147.43,0
186,4266,-134.17,0
187,5145,-153.78,0
188,6314,-200.05,0
189,7087,-255.35,0
190,7052,-298.46,0
191,6243,-314.09,0
192,5101,-299.63,0
193,4278,-265.50,0
194,4175,-228.85,0
195,4809,-204.62,0
196,5881,-199.13,0
197,6774,-209.06,0
198,6992,-225.18,0
199,6395,-238.46,0
200,5298,-245.30,0
201,4356,-249.14,0
202,4021,-257.22,0
203,4485,-274.69,0
204,5522,-300.18,0
205,6599,-325.45,0
206,7069,-339.08,0
207,6708,-332.35,0
208,5704,-304.72,0
209,4612,-265.27,0
210,4023,-228.99,0
211,4228,-209.40,0
212,5106,-212.04,0
213,6234,-232.26,0
214,6938,-258.14,0
215,6872,-276.51,0
216,6075,-279.39,0
217,4989,-267.26,0
218,4247,-247.53,0
219,4227,-229.14,0
220,4928,-216.89,0
221,6040,-208.95,0
222,6911,-198.69,0
223,7071,-179.33,0
224,6417,-148.94,0
225,5291,-113.12,0
226,4346,-83.42,0
227,4032,-71.78,0
228,4510,-84.01,0
229,5556,-116.39,0
230,6620,-157.07,0
231,7084,-191.08,0
232,6710,-206.62,0
233,5721,-200.13,0
234,4666,-177.45,0
235,4098,-150.16,0
236,4317,-129.32,0
237,5205,-120.31,0
238,6329,-121.35,0
239,7040,-125.46,0
240,6979,-124.64,0
241,6183,-114.13,0
242,5087,-94.63,0
243,4313,-71.53,0
244,4248,-51.49,0
245,4901,-38.78,0
246,5971,-33.63,0
247,6838,-33.17,0
248,7020,-33.65,0
249,6418,-32.90,0
250,5346,-31.78,0
251,4445,-33.62,0
252,4170,-41.50,0
253,4681,-55.06,0
254,5706,-69.27,0
255,6703,-76.47,0
256,7099,-70.35,0
257,6642,-49.94,0
258,5580,-21.65,0
259,4500,2.22,0
260,3983,8.64,0
